_id,country,name,overallRating,rating.Academics[0],rating.Food[0],rating.Dorms[0],rating.Social[0],rating.Location[0],rating.Opportunities[0],rating.Clubs[0],rating.Safety[0]
658ccbbb738d9d84019c1c92,US,Alabama Agricultural and Mechanical University,,,,,,,,,
658ccbbb738d9d84019c1c93,US,Alabama State University,,,,,,,,,
658ccbbb738d9d84019c1c94,IN,Alagappa University,,,,,,,,,
658ccbbb738d9d84019c1c95,YE,Alahgaff University,,,,,,,,,
658ccbbb738d9d84019c1c96,JO,Al-Ahliyya Amman University,,,,,,,,,
658ccbbb738d9d84019c1c97,AE,Alain University of Science and Technology,,,,,,,,,
658ccbbb738d9d84019c1c98,PS,Al-Aqsa University,,,,,,,,,
658ccbbb738d9d84019c1c99,US,Alaska Bible College,,,,,,,,,
658ccbbb738d9d84019c1c9a,US,Alaska Pacific University,,,,,,,,,
658ccbbb738d9d84019c1c9b,LY,Al-Asmarya University for Islamic Studies,,,,,,,,,
658ccbbb738d9d84019c1c9c,PS,Al-Azhar University of Gaza,,,,,,,,,
658ccbbb738d9d84019c1c9d,SY,Al-Baath University,,,,,,,,,
658ccbbb738d9d84019c1c9e,SA,Al-baha University,,,,,,,,,
658ccbbb738d9d84019c1c9f,JO,Al-Balqa Applied University,,,,,,,,,
658ccbbb738d9d84019c1ca0,US,Albany College of Pharmacy,,,,,,,,,
658ccbbb738d9d84019c1ca1,US,Albany Law School,,,,,,,,,
658ccbbb738d9d84019c1ca2,US,Albany Medical Center,,,,,,,,,
658ccbbb738d9d84019c1ca3,US,Albany State University,,,,,,,,,
658ccbbb738d9d84019c1ca4,SA,Al-Batterjee Medical College,,,,,,,,,
658ccbbb738d9d84019c1ca5,DE,Albert-Ludwigs-Universität Freiburg,,,,,,,,,
658ccbbb738d9d84019c1ca6,US,Albertus Magnus College,,,,,,,,,
658ccbbb738d9d84019c1ca7,US,Albion College,,,,,,,,,
658ccbbb738d9d84019c1ca8,AF,Al-Birony University,,,,,,,,,
658ccbbb738d9d84019c1ca9,US,Albright College,,,,,,,,,
658ccbbb738d9d84019c1caa,MY,Al-Bukhari International University,,,,,,,,,
658ccbbb738d9d84019c1cab,OM,Al-Buraimi University College,,,,,,,,,
658ccbbb738d9d84019c1cac,US,Alcorn State University,,,,,,,,,
658ccbbb738d9d84019c1cad,US,Alderson Broaddus College,,,,,,,,,
658ccbbb738d9d84019c1cae,PL,Aleksander Gieysztor School of Humanities in Pultusk,,,,,,,,,
658ccbbb738d9d84019c1caf,PL,Aleksander Zelwerowicz State Theatre Academy,,,,,,,,,
658ccbbb738d9d84019c1cb0,YE,Al-Eman University,,,,,,,,,
658ccbbb738d9d84019c1cb1,TW,Aletheia University,,,,,,,,,
658ccbbb738d9d84019c1cb2,EG,Alexandria University,,,,,,,,,
658ccbbb738d9d84019c1cb3,SA,Alfaisal University,,,,,,,,,
658ccbbb738d9d84019c1cb4,KZ,Al-Farabi Kazakh National University,,,,,,,,,
658ccbbb738d9d84019c1cb5,US,Alfred Adler Graduate School,,,,,,,,,
658ccbbb738d9d84019c1cb6,UA,Alfred Nobel University of Economics and Law ,,,,,,,,,
658ccbbb738d9d84019c1cb7,US,Alfred University,,,,,,,,,
658ccbbb738d9d84019c1cb8,CA,Algonquin College,,,,,,,,,
658ccbbb738d9d84019c1cb9,PK,Alhamd Islamic University,,,,,,,,,
658ccbbb738d9d84019c1cba,NG,Al-hikmah University,,,,,,,,,
